,System,nDCG (base),nDCG (rrf),nDCG (delta),AP (base),AP (rrf),AP (delta),P@10 (base),P@10 (rrf),P@10 (delta)
0,UDInfoPMSA3,0.4898854026126848,0.4865483565719718,-0.0033370460407129987,0.16427658504533418,0.19376483647442075,0.029488251429086565,0.4233333333333333,0.3566666666666667,-0.0666666666666666
1,ielabRun3,0.03921843989991786,0.05975076365682308,0.020532323756905217,0.0019699761929898993,0.008162511042423543,0.006192534849433644,0.013333333333333334,0.08666666666666668,0.07333333333333335
2,ECNU_M_5,0.42896818734352743,0.4370485525496158,0.008080365206088347,0.14069852492531235,0.17870157908192583,0.03800305415661348,0.3766666666666667,0.35000000000000003,-0.026666666666666672
3,aCSIROmedMGB,0.2303287440275711,0.2811812266824026,0.0508524826548315,0.043030178160851376,0.09270115590855334,0.04967097774770196,0.22,0.3033333333333334,0.0833333333333334
4,mayonlppm2,0.3031250196489231,0.3191492002233256,0.016024180574402525,0.07294142501437796,0.10757842832539646,0.0346370033110185,0.37999999999999995,0.2966666666666667,-0.08333333333333326
5,mayonlppm1,0.26782043245199916,0.25259217851939547,-0.015228253932603686,0.08343671984725409,0.09084592903482447,0.007409209187570376,0.4066666666666666,0.33666666666666667,-0.06999999999999995
6,SDSFU_Jnal,0.33075950649502145,0.3672182974135041,0.03645879091848264,0.08543384030804704,0.13627978584736047,0.05084594553931343,0.26,0.30666666666666664,0.046666666666666634
7,Textual,0.4182506832113502,0.4208344325979857,0.00258374938663547,0.14312235374354115,0.18116161955345098,0.03803926580990982,0.4333333333333333,0.43,-0.0033333333333332993
8,KISTI02,0.39809661002114005,0.40210710934167737,0.00401049932053732,0.12470921074416737,0.16020310368192905,0.03549389293776169,0.38999999999999996,0.33,-0.05999999999999994
9,cbnuSA3,0.2618993070661933,0.31632999202201506,0.05443068495582176,0.05777658384233475,0.11435723186035458,0.05658064801801983,0.19333333333333336,0.27666666666666667,0.08333333333333331
10,UNTIIAIS,0.13683309392119292,0.14634017001860142,0.009507076097408501,0.04906389929560319,0.06498278210577345,0.01591888281017026,0.19666666666666668,0.20333333333333328,0.006666666666666599
11,UWMSOIS8,0.4317690792157867,0.44844135523126866,0.016672276015481935,0.13139449149952195,0.17809413598163287,0.04669964448211092,0.3566666666666667,0.35333333333333333,-0.003333333333333355
12,mRun2BslOth,0.4840548092070225,0.48387604209611396,-0.0001787671109085287,0.16266780626867156,0.19626653018531798,0.03359872391664642,0.45666666666666667,0.36000000000000004,-0.09666666666666662
13,UDInfoPMSA7,0.5009116150748381,0.4968903517849429,-0.004021263289895161,0.1760786498808,0.20762923149474707,0.03155058161394708,0.43666666666666665,0.3566666666666667,-0.07999999999999996
14,udelT1PRF,0.4369351713392041,0.4409902021494173,0.004055030810213189,0.14979613119810123,0.1866812309213068,0.03688509972320558,0.41333333333333333,0.38333333333333325,-0.030000000000000082
15,POZabsBB2GRn,0.24492141267480136,0.2707141065645683,0.025792693889766932,0.0711226721141482,0.10827461310359834,0.03715194098945014,0.35333333333333333,0.4000000000000001,0.046666666666666745
16,SIBTMlit1,0.5138078397993017,0.5181242579309234,0.004316418131621758,0.19221513877086974,0.23641975628619563,0.044204617515325895,0.5199999999999999,0.45000000000000007,-0.06999999999999984
17,ielabRun1,0.03656287853704389,0.05212917084123032,0.015566292304186428,0.0019001549659513064,0.006115621791502237,0.004215466825550931,0.02666666666666667,0.056666666666666664,0.029999999999999995
18,UD_GU_SA_4,0.4676793578405223,0.47015867662707145,0.0024793187865491673,0.18871845466775442,0.2244006012371945,0.035682146569440076,0.6233333333333333,0.51,-0.11333333333333329
19,UTDHLTAF,0.5388670299211648,0.5131263659515711,-0.025740663969593625,0.22443297919534008,0.23701931749485505,0.01258633829951497,0.6299999999999998,0.4666666666666666,-0.16333333333333316
20,UD_GU_SA_5,0.47347284749937846,0.473249106652128,-0.00022374084725046428,0.19415565727282014,0.22695939911822946,0.03280374184540932,0.6466666666666667,0.5166666666666667,-0.13
21,UWMSOIS9,0.4333084091901537,0.44708478905976423,0.013776379869610555,0.1319912229980944,0.17789070859095255,0.04589948559285814,0.3566666666666667,0.35333333333333333,-0.003333333333333355
22,cbnuSA2,0.25573292692858235,0.30768150589260373,0.051948578964021386,0.051512200588957495,0.10308201839248694,0.05156981780352945,0.16000000000000003,0.25999999999999995,0.09999999999999992
23,pms_run1,0.2933652574310495,0.30836631486018606,0.015001057429136544,0.09542217945248517,0.12266924865909709,0.02724706920661192,0.46666666666666656,0.4033333333333333,-0.06333333333333324
24,mRun1Bsl,0.5071091704225119,0.5021234855007263,-0.004985684921785638,0.1782380485427221,0.21163772865557978,0.03339968011285768,0.49666666666666665,0.38666666666666666,-0.10999999999999999
25,medline5,0.4077382326737337,0.4122109339336571,0.004472701259923384,0.1436525221947196,0.18116840162062736,0.037515879425907755,0.4366666666666666,0.35666666666666663,-0.07999999999999996
26,Semantic,0.38344752393455656,0.3998605936368535,0.016413069702296945,0.13088876584731804,0.17689804911610396,0.04600928326878592,0.46,0.4800000000000001,0.020000000000000073
27,SDSFU_Ensem,0.34657822960560053,0.3706905060533789,0.024112276447778358,0.09356354891491611,0.13820358245154804,0.04464003353663193,0.32666666666666655,0.31999999999999995,-0.006666666666666599
28,SIBTMlit3,0.5316019664793428,0.5359755582944327,0.0043735918150898945,0.20070848508251365,0.24581494157342226,0.04510645649090861,0.5233333333333332,0.45000000000000007,-0.07333333333333314
29,UCASSEM2a,0.4611937466655411,0.4749499711166415,0.013756224451100418,0.15875107848435882,0.202824186536052,0.04407310805169318,0.43333333333333335,0.33666666666666667,-0.09666666666666668
30,ielabRun21,0.0370673945101135,0.053694439200099676,0.01662704468998618,0.0019262705114699876,0.007408982499702064,0.005482711988232076,0.02666666666666667,0.07666666666666667,0.05
31,UWMSOIS7,0.4369129500424112,0.44564142549708147,0.00872847545467026,0.13545212575644075,0.17718544139812528,0.04173331564168453,0.3733333333333333,0.35666666666666663,-0.016666666666666663
32,UNTIIADW,0.3697036068915163,0.3636045803943629,-0.006099026497153437,0.14905165149320185,0.16748752094971484,0.018435869456512988,0.44666666666666666,0.34,-0.10666666666666663
33,kkseabs3,0.09122178399642582,0.12118205719658251,0.029960273200156692,0.012115293419699146,0.027773745625800046,0.0156584522061009,0.12666666666666668,0.2233333333333333,0.09666666666666662
34,UDInfoPMSA6,0.25432482073014145,0.27126573615676475,0.016940915426623293,0.06933741611525424,0.09919480517214148,0.029857389056887243,0.23999999999999996,0.23666666666666666,-0.0033333333333332993
35,DUTIR003,0.10795833954575312,0.13040622745543173,0.02244788790967861,0.019627893280198892,0.0318604565767334,0.012232563296534507,0.21666666666666667,0.2866666666666667,0.07
36,UNTIIASY,0.35155260618835193,0.33692874385947247,-0.014623862328879467,0.14325284516791834,0.1528011715904912,0.009548326422572861,0.4600000000000001,0.3433333333333333,-0.11666666666666675
37,aCSIROmedAll,0.3274903161800484,0.3406248277549866,0.013134511574938168,0.09983248536317937,0.12569489310717577,0.025862407743996396,0.3933333333333333,0.3666666666666666,-0.026666666666666727
38,aCSIROmedNEG,0.36750590434722896,0.3758081033812496,0.00830219903402063,0.11480463964143792,0.14681907206914774,0.03201443242770982,0.3733333333333334,0.38999999999999996,0.016666666666666552
39,UKY_AGG,0.47607091383386907,0.4865626525502055,0.010491738716336407,0.1754081755768601,0.2179532240561086,0.042545048479248504,0.49333333333333335,0.45333333333333337,-0.03999999999999998
40,MedIER_sa1,0.22254890157246937,0.23651877464675353,0.013969873074284156,0.061451251542815125,0.08803661000082723,0.026585358458012104,0.33,0.3033333333333333,-0.026666666666666727
41,pms_run3_abs,0.44607948850518714,0.4634841622929898,0.017404673787802638,0.15667516653397834,0.2044220677437591,0.04774690120978076,0.49666666666666676,0.4,-0.09666666666666673
42,UD_GU_SA_1,0.46004509281894473,0.46717408661755694,0.007128993798612204,0.18059821868694284,0.22019802566053742,0.03959980697359458,0.5999999999999999,0.51,-0.08999999999999986
43,pms_run4_abs,0.3159269406029679,0.3546761293275852,0.0387491887246173,0.08751248000103319,0.14042705352262688,0.05291457352159369,0.38333333333333336,0.41666666666666674,0.03333333333333338
44,SIBTMlit4,0.5337503482690747,0.5355071780850399,0.001756829815965144,0.20275701300295063,0.2468732040942667,0.044116191091316065,0.55,0.44000000000000006,-0.10999999999999999
45,medline2,0.4058037629147565,0.4183319556820117,0.012528192767255197,0.129370735182166,0.1748471174509069,0.0454763822687409,0.41,0.3333333333333333,-0.07666666666666666
46,POZabsBB2sn,0.29411135932409976,0.29918788080668,0.005076521482580254,0.10004566044265602,0.12594372578767105,0.02589806534501503,0.39666666666666667,0.3733333333333333,-0.023333333333333373
47,ECNU_M_4,0.2973072962232062,0.3401434273559089,0.04283613113270274,0.06751966289109154,0.12218123541362513,0.05466157252253359,0.2733333333333333,0.3266666666666667,0.0533333333333334
48,medline1,0.3325585145695637,0.3524766160556476,0.019918101486083917,0.09046264416042465,0.12677697744628869,0.03631433328586403,0.33000000000000007,0.2866666666666667,-0.04333333333333339
49,Broad,0.4868640642497768,0.4958654571113297,0.009001392861552882,0.1647758799569298,0.21374238807737175,0.048966508120441954,0.4666666666666667,0.44666666666666666,-0.020000000000000018
50,KISTI05,0.39855923613394045,0.4088076470294161,0.010248410895475624,0.12401681716274178,0.16620653408209124,0.04218971691934946,0.4066666666666666,0.3233333333333333,-0.08333333333333331
51,UNTIIAGA,0.14107905282428065,0.13488896143911713,-0.006190091385163521,0.047262947620857386,0.049924432114390446,0.0026614844935330603,0.20999999999999996,0.1933333333333333,-0.016666666666666663
52,UWMSOIS6,0.43547283163233946,0.44739308416654144,0.01192025253420198,0.13497713724523894,0.1789490489491631,0.04397191170392417,0.36000000000000004,0.36333333333333334,0.0033333333333332993
53,mayonlppm5,0.36169937313115014,0.36316082860951066,0.0014614554783605183,0.10853481970656541,0.1409376588864568,0.03240283917989138,0.41,0.3433333333333334,-0.0666666666666666
54,POZabsLGDGRn,0.23338641419753306,0.26096993909946,0.02758352490192692,0.06649887921925919,0.1014578955804411,0.03495901636118191,0.33333333333333326,0.3866666666666667,0.053333333333333455
55,SIBTMlit2,0.5170723351893918,0.5199014679639972,0.002829132774605392,0.1950635635609231,0.23833577322766167,0.04327220966673856,0.5266666666666666,0.45333333333333337,-0.07333333333333325
56,pms_run5_abs,0.460447959737581,0.47110880977987823,0.01066085004229722,0.17451534251227946,0.2174571021672556,0.04294175965497615,0.53,0.44666666666666666,-0.08333333333333337
57,UNTIIALQ,0.31435534003105847,0.3054998337505522,-0.008855506280506298,0.12321071227534881,0.12999098388156585,0.006780271606217039,0.5233333333333333,0.3666666666666666,-0.15666666666666673
