,run,ndcg (base),ndcg (fuse),ndcg (diff),ndcg (pval),map (base),map (fuse),map (diff),map (pval),precision@10 (base),precision@10 (fuse),precision@10 (diff),precision@10 (pval),bpref (base),bpref (fuse),bpref (diff),bpref (pval),mrr (base),mrr (fuse),mrr (diff),mrr (pval)
0,UDInfoPMSA3,0.4898854026126848,0.6014346431537156,0.11154924054103083,2.0306372816602346e-05,0.16427658504533418,0.2179223885820482,0.053645803536714026,0.008856107527373593,0.4233333333333333,0.26666666666666666,-0.15666666666666662,2.965272338846729e-05,0.25651730476999196,0.19662703409752663,-0.05989027067246533,0.0009316074326601211,0.697053022077452,0.5161274633612455,-0.18092555871620652,0.06565708639410374
1,ielabRun3,0.03921843989991786,0.47422816221003683,0.435009722310119,8.242358833272348e-18,0.0019699761929898993,0.11978787761000315,0.11781790141701325,1.2644350676565545e-07,0.013333333333333334,0.1633333333333333,0.14999999999999997,0.0001928080734103121,0.024086735434636308,0.11194573816008237,0.08785900272544606,0.00012813648197225526,0.02365574291974188,0.27038641933643015,0.24673067641668828,5.545171768715802e-05
2,ECNU_M_5,0.42896818734352743,0.5839168758850085,0.15494868854148108,1.4117459734570915e-07,0.14069852492531235,0.20896870076856192,0.06827017584324957,0.00047199437963329664,0.3766666666666667,0.26,-0.1166666666666667,0.005912950806161397,0.22194969243123094,0.18850156791804254,-0.033448124513188404,0.026902861078495422,0.6041984460079088,0.496749504852446,-0.10744894115546283,0.2071085160517933
3,aCSIROmedMGB,0.2303287440275711,0.5080160495431147,0.27768730551554366,9.12909955374383e-17,0.043030178160851376,0.15560989134020914,0.11257971317935776,2.9645847017994765e-07,0.22,0.2233333333333333,0.0033333333333332993,0.8972561228064843,0.1581465148138911,0.15131851569266228,-0.006827999121228834,0.6607028625988609,0.44284510650530556,0.322249430852372,-0.12059567565293355,0.06667272980573136
4,mayonlppm2,0.3031250196489231,0.5318015411656106,0.22867652151668755,3.5789737249789284e-09,0.07294142501437796,0.169603559611574,0.09666213459719604,3.127082225632648e-05,0.37999999999999995,0.23333333333333334,-0.1466666666666666,0.002297164196253307,0.1733475143002389,0.17236261404964145,-0.0009849002505974425,0.9561462953078678,0.6083121237000547,0.4983946011354733,-0.10991752256458143,0.2169088100765316
5,mayonlppm1,0.26782043245199916,0.5264001877724591,0.25857975532045996,3.3229782390454214e-08,0.08343671984725409,0.16814566910894727,0.08470894926169317,0.0001951551817456893,0.4066666666666666,0.24999999999999997,-0.15666666666666665,0.0009374405834341879,0.14440814896483228,0.17083580209201704,0.026427653127184758,0.3753203130775593,0.6872573561703997,0.4866341991341991,-0.20062315703620065,0.05576353393454293
6,SDSFU_Jnal,0.33075950649502145,0.553009312802958,0.2222498063079365,1.242794212595437e-12,0.08543384030804704,0.18473371451737958,0.09929987420933253,2.2612813571446854e-06,0.26,0.25333333333333335,-0.006666666666666654,0.8229732745526318,0.19356851609856754,0.17437981148966397,-0.019188704608903567,0.20529334852725617,0.44086241161404555,0.4031184679896318,-0.037743943624413745,0.6287724242074937
7,Textual,0.4182506832113502,0.5790148093689452,0.160764126157595,2.157458553554326e-09,0.14312235374354115,0.21086987281665087,0.06774751907310972,0.0007066481298883483,0.4333333333333333,0.2833333333333333,-0.14999999999999997,0.0005871001319975686,0.2306010387067867,0.19692964205934568,-0.03367139664744101,0.023070343821053624,0.7402525252525252,0.5002813896343309,-0.23997113561819428,0.00809576980075604
8,KISTI02,0.39809661002114005,0.5482358163386762,0.1501392063175362,4.1464299437954437e-07,0.12470921074416737,0.19393551265258574,0.06922630190841837,0.00037791507662128797,0.38999999999999996,0.26666666666666666,-0.1233333333333333,0.009845225071647257,0.2131953561722512,0.18467126532207975,-0.028524090850171435,0.037685581983375474,0.6630256740238568,0.4891552443971799,-0.17387042962667693,0.05317261064339752
9,cbnuSA3,0.2618993070661933,0.5154216473974241,0.25352234033123083,1.7296574550774858e-11,0.05777658384233475,0.16413969115773686,0.1063631073154021,8.334822922600936e-07,0.19333333333333336,0.22999999999999995,0.0366666666666666,0.2556207586402012,0.16572984437980226,0.15608489048405455,-0.00964495389574771,0.5397397778971174,0.2896637209417577,0.4178906253529647,0.128226904411207,0.06992908682255525
10,UNTIIAIS,0.13683309392119292,0.5062398116077814,0.3694067176865885,3.363100972881197e-14,0.04906389929560319,0.1541588861455571,0.1050949868499539,8.70699284454482e-07,0.19666666666666668,0.21,0.013333333333333308,0.7415189510573437,0.09361198434417717,0.15022873963321187,0.056616755289034704,0.008286510423428145,0.2838303364981763,0.34215208886261517,0.05832175236443887,0.43983559333053956
11,UWMSOIS8,0.4317690792157867,0.5559407812477598,0.12417170203197309,3.907362212643734e-07,0.13139449149952195,0.19890437479961562,0.06750988330009366,0.00024558619352547993,0.3566666666666667,0.2700000000000001,-0.08666666666666661,0.02416361603916722,0.22526971271738586,0.1884636012922706,-0.03680611142511525,0.011879226233480568,0.6394753086419752,0.4877905948004169,-0.1516847138415583,0.07431939621154478
12,mRun2BslOth,0.4840548092070225,0.6033653347509135,0.11931052554389099,3.515326041940438e-06,0.16266780626867156,0.21961687138944772,0.05694906512077616,0.004231079957405888,0.45666666666666667,0.2700000000000001,-0.1866666666666666,0.0001183655108205278,0.251918508200277,0.19559883513818743,-0.05631967306208957,0.0011251069853882103,0.7036656746031745,0.5458903245092502,-0.1577753500939243,0.021949094071190892
13,UDInfoPMSA7,0.5009116150748381,0.6067636035135595,0.10585198843872146,0.00017324465236450584,0.1760786498808,0.22218798273729573,0.04610933285649574,0.024533327514994135,0.43666666666666665,0.26000000000000006,-0.17666666666666658,0.00024451593251219566,0.2699954049555224,0.2036785915437284,-0.06631681341179399,0.000738503221378512,0.7047354497354498,0.5326660512689924,-0.1720693984664574,0.09602341093077461
14,udelT1PRF,0.4369351713392041,0.5899525740119888,0.15301740267278463,7.783938210420925e-08,0.14979613119810123,0.21382138325565758,0.06402525205755635,0.0015356073289221296,0.41333333333333333,0.2733333333333334,-0.13999999999999996,0.002337264317364764,0.24277719956823976,0.1937712818738614,-0.04900591769437837,0.010785650491362328,0.5098443486590039,0.4814447409131874,-0.028399607745816458,0.7377277651930687
15,POZabsBB2GRn,0.24492141267480136,0.53943117782903,0.29450976515422866,5.850510838113233e-15,0.0711226721141482,0.18079967348639198,0.10967700137224377,2.6916186930274084e-06,0.35333333333333333,0.25,-0.10333333333333333,0.01916325140522133,0.1809269735097742,0.1808765585781033,-5.0414931670905716e-05,0.9982543409537017,0.564353115991047,0.5052194518158141,-0.059133664175232914,0.5326987937576612
16,SIBTMlit1,0.5138078397993017,0.6249681882487028,0.11116034844940115,2.9221909509302164e-06,0.19221513877086974,0.23833502167583387,0.04611988290496413,0.025404140354645683,0.5199999999999999,0.3,-0.21999999999999992,1.674516160831294e-05,0.29845490836140465,0.2199196087855568,-0.07853529957584784,0.0003911551147230872,0.6846969696969697,0.5510651848151847,-0.13363178488178495,0.135312672854992
17,ielabRun1,0.03656287853704389,0.47340939948760996,0.4368465209505661,6.403851321666228e-18,0.0019001549659513064,0.11924879186536567,0.11734863689941437,9.953253261058573e-08,0.02666666666666667,0.17666666666666667,0.15,0.00021467171322007715,0.020688983627603245,0.11720707490657833,0.0965180912789751,7.626345030314666e-05,0.09424939375937784,0.24747489247332544,0.15322549871394758,0.00037430624284642936
18,UD_GU_SA_4,0.4676793578405223,0.6180454027516381,0.15036604491111583,0.00013590010279971904,0.18871845466775442,0.2331933690172786,0.04447491434952419,0.12434370343130177,0.6233333333333333,0.30999999999999994,-0.31333333333333335,5.208798096216996e-08,0.31904159362888257,0.2257113237439427,-0.09333026988493986,0.0047354383508767806,0.8743137254901961,0.5658760566806544,-0.3084376688095417,0.000817983945620502
