,run,ndcg (base),ndcg (fuse),ndcg (diff),ndcg (pval),map (base),map (fuse),map (diff),map (pval),precision@10 (base),precision@10 (fuse),precision@10 (diff),precision@10 (pval),bpref (base),bpref (fuse),bpref (diff),bpref (pval)
0,UDInfoPMSA3,0.30556596786167967,0.6323783409555018,0.32681237309382216,2.286684191967152e-16,0.10776303621352028,0.3363607054904753,0.22859766927695502,2.1151725310747635e-12,0.4059999999999999,0.42999999999999994,0.02400000000000002,0.4552642243545383,0.23651058490019372,0.3275387616166123,0.09102817671641855,0.0001869510251697401
1,IKMLAB_1,0.4875771014348279,0.6490229468608826,0.16144584542605467,5.35159110343441e-13,0.20165608843410143,0.3626503105092088,0.16099422207510738,7.590779502249825e-08,0.528,0.57,0.041999999999999926,0.19132696359208523,0.4083816463414846,0.3673608933642778,-0.04102075297720681,0.050980316083391645
2,doc2vec_run,0.0023381473954216044,0.5632286583199292,0.5608905109245076,6.61390114948657e-31,9.869436288358736e-05,0.26987184939343606,0.2697731550305525,4.182064113883884e-15,0.004,0.276,0.272,1.3362847376319054e-11,0.0024143605863345434,0.26525904976766634,0.2628446891813318,1.9642533296448834e-12
3,cbnuSA3,0.2581609965369483,0.6053566889737914,0.34719569243684306,9.111814294637745e-19,0.06883800182722197,0.3093396135811595,0.24050161175393756,3.8561363636201454e-14,0.23800000000000002,0.344,0.10599999999999996,0.0003783886793850792,0.21728170940260014,0.31930877545430764,0.1020270660517075,5.070632539293526e-05
4,two_stage,0.5245689428095386,0.6934520989995125,0.16888315618997396,2.7413117338852083e-10,0.22776613481758068,0.3863432870029665,0.15857715218538582,8.202097968497562e-08,0.508,0.506,-0.0020000000000000018,0.9487712128608771,0.4007013717609849,0.36973693340611224,-0.03096443835487267,0.19899936587855474
5,bool51,0.36494170527928477,0.641164686086674,0.2762229808073892,2.4576678041083e-16,0.1385758060320192,0.3477120178197493,0.20913621178773012,2.2640284200521197e-12,0.446,0.512,0.066,0.04956336503115954,0.31286785087229296,0.3488797700250986,0.03601191915280566,0.0735657775528599
6,MSIIP_PBL,0.54344793542532,0.713415392702095,0.16996745727677498,1.4797417594192006e-09,0.24966772218963743,0.41305721776673826,0.16338949557710084,1.4374378944850613e-06,0.6679999999999999,0.62,-0.04799999999999993,0.16816056134957677,0.4505347623750462,0.39135132492830577,-0.05918343744674043,0.02420095188805467
7,imi_mug_abs3,0.6247443999207412,0.7050707125491552,0.08032631262841405,0.0002543810240368057,0.31362768166038424,0.40791174068613045,0.09428405902574621,0.0005140245948400146,0.59,0.5519999999999999,-0.038000000000000034,0.13823330391056318,0.4835961413897249,0.4013033926180674,-0.08229274877165749,9.728982150197549e-05
8,rbf,0.5278740142345615,0.6938301647323938,0.1659561504978323,3.51680410134504e-10,0.23114448483028432,0.38888818070399184,0.1577436958737075,1.0445042393312408e-07,0.51,0.536,0.026000000000000023,0.3520604830402563,0.4132047657126025,0.3735240672331924,-0.03968069847941008,0.06891742400385473
9,MSIIP_PBH,0.5405792310737197,0.7118451179257359,0.17126588685201616,1.9331771557532286e-09,0.24924277984284815,0.4120378392241147,0.16279505938126654,1.6678281963070248e-06,0.6679999999999999,0.6200000000000001,-0.04799999999999982,0.16671162816120827,0.4457925995680727,0.3904115446377186,-0.05538105493035411,0.038514399910156705
10,KL18AbsFuse,0.5102334239880186,0.6780750465376174,0.16784162254959878,3.9496203017443393e-10,0.22290626629172056,0.37718666829107805,0.1542804019993575,9.00651769525961e-08,0.5420000000000001,0.5099999999999999,-0.03200000000000025,0.32222340595067556,0.38895627469136856,0.3611893219767939,-0.02776695271457469,0.14920222351636706
11,UVAEXPBSTDIF,0.1878499913889385,0.5929776811926196,0.40512768980368113,5.001586367029506e-24,0.07464827915137881,0.28577232627736104,0.21112404712598223,4.126291019600841e-11,0.596,0.366,-0.22999999999999998,1.2469649224229191e-10,0.09816008059691539,0.27129687292717797,0.17313679233026258,9.188021176110473e-07
