,run,ndcg (base),ndcg (fuse),ndcg (diff),ndcg (pval),map (base),map (fuse),map (diff),map (pval),precision@10 (base),precision@10 (fuse),precision@10 (diff),precision@10 (pval),bpref (base),bpref (fuse),bpref (diff),bpref (pval),mrr (base),mrr (fuse),mrr (diff),mrr (pval)
0,UDInfoPMSA3,0.30556596786167967,0.5962141911218363,0.2906482232601566,1.871067318391349e-14,0.10776303621352028,0.2698810507081988,0.1621180144946785,6.781349588242953e-10,0.4059999999999999,0.3600000000000001,-0.04599999999999982,0.22969139656904286,0.23651058490019372,0.27287790904735554,0.03636732414716182,0.1396504757926801,0.5800668324255991,0.5439487454975966,-0.036118086928002446,0.5601981951561414
1,IKMLAB_1,0.4875771014348279,0.6195945100848932,0.13201740865006528,2.0684094178195444e-10,0.20165608843410143,0.30148787929544296,0.09983179086134153,3.0523827702206666e-05,0.528,0.43000000000000005,-0.09799999999999998,0.008504455373064261,0.4083816463414846,0.30388690444660027,-0.10449474189488434,1.0605116031769465e-05,0.6150595238095238,0.707496194824962,0.09243667101543818,0.12888517391396367
2,doc2vec_run,0.0023381473954216044,0.5467626652165173,0.5444245178210957,1.4469325028916836e-30,9.869436288358736e-05,0.2154456893862938,0.2153469950234102,1.2282859971628e-14,0.004,0.29000000000000004,0.28600000000000003,3.087944266693454e-11,0.0024143605863345434,0.22449189524519547,0.22207753465886093,2.4053426771604425e-11,0.004108369818304888,0.4810382337819409,0.476929863963636,5.1816064546544655e-12
3,cbnuSA3,0.2581609965369483,0.5732712951169975,0.3151102985800492,1.9478340077807618e-16,0.06883800182722197,0.2456710986351203,0.17683309680789833,1.7118318379318895e-11,0.23800000000000002,0.32,0.08199999999999999,0.025739618286626346,0.21728170940260014,0.2557917544419479,0.03851004503934777,0.13262883729571134,0.3875376916847376,0.5119471860896986,0.12440949440496096,0.018942707025059062
4,two_stage,0.5245689428095386,0.6581833969792027,0.1336144541696641,3.0679934680595283e-07,0.22776613481758068,0.3168802417570418,0.08911410693946115,0.0005371370579201704,0.508,0.398,-0.10999999999999999,0.005205529532335486,0.4007013717609849,0.302210918596056,-0.09849045316492894,0.0007103679901502371,0.6641844210501598,0.6074325795895564,-0.056751841460603414,0.32982572426696055
5,bool51,0.36494170527928477,0.6071424853656389,0.2422007800863541,4.5371260278725005e-14,0.1385758060320192,0.28547272161087633,0.14689691557885715,3.5815037714418084e-10,0.446,0.39000000000000007,-0.05599999999999994,0.06421895914339307,0.31286785087229296,0.28715342650427106,-0.025714424368021904,0.23304366569057505,0.5367805266769667,0.6160741101004258,0.07929358342345905,0.1975223229648097
6,MSIIP_PBL,0.54344793542532,0.665973362509358,0.12252542708403802,5.975663835105254e-07,0.24966772218963743,0.3256556115573457,0.07598788936770826,0.0048047522249123845,0.6679999999999999,0.42599999999999993,-0.242,3.2747680732843e-08,0.4505347623750462,0.3167282085856619,-0.13380655378938427,4.831994705641241e-06,0.8094294294294295,0.703119384609115,-0.10631004482031448,0.06098368037301933
7,imi_mug_abs3,0.6247443999207412,0.6748519660679664,0.050107566147225224,0.014059464377614168,0.31362768166038424,0.3388711832094252,0.02524350154904098,0.2666693116876051,0.59,0.43799999999999994,-0.15200000000000002,5.235645965518428e-06,0.4835961413897249,0.32052649010981044,-0.16306965127991446,1.6065589574256497e-09,0.8508333333333334,0.6489587191358025,-0.20187461419753094,0.0005582543344930661
8,rbf,0.5278740142345615,0.6590578053843692,0.13118379114980772,2.576880598103908e-07,0.23114448483028432,0.318305562401458,0.0871610775711737,0.000649634809981955,0.51,0.41200000000000003,-0.09799999999999998,0.007738442631705055,0.4132047657126025,0.3060976366898027,-0.10710712902279979,9.146118257149248e-05,0.6283885636899554,0.6020824114157448,-0.026306152274210626,0.694071741959922
9,MSIIP_PBH,0.5405792310737197,0.6652578174718765,0.12467858639815677,5.96349958692888e-07,0.24924277984284815,0.3254904295595453,0.07624764971669717,0.004869542019794195,0.6679999999999999,0.42599999999999993,-0.242,2.4627514168598862e-08,0.4457925995680727,0.31657582897294817,-0.12921677059512454,1.2599175073207641e-05,0.8094294294294295,0.7002939877837181,-0.10913544164571143,0.052933594307894925
10,KL18AbsFuse,0.5102334239880186,0.6447425794354191,0.1345091554474005,6.400469669737981e-08,0.22290626629172056,0.31157210202035407,0.08866583572863351,0.0001840418902625068,0.5420000000000001,0.406,-0.13600000000000012,0.000550491721637581,0.38895627469136856,0.29772780634681895,-0.09122846834454962,7.784979783960952e-05,0.7144925303454716,0.5875943722943723,-0.12689815805109927,0.06494170876220524
11,UVAEXPBSTDIF,0.1878499913889385,0.5953476602828642,0.40749766889392575,4.601370781618175e-25,0.07464827915137881,0.28529525193078187,0.21064697277940306,1.5172812272322487e-11,0.596,0.37799999999999995,-0.21800000000000003,8.154591969413742e-11,0.09816008059691539,0.2724586216714959,0.17429854107458054,4.3098474787758005e-07,0.8046753246753247,0.6387814809852393,-0.1658938436900853,0.0008167247061707343
