,run,ndcg (base),ndcg (fuse),ndcg (diff),ndcg (pval),map (base),map (fuse),map (diff),map (pval),precision@10 (base),precision@10 (fuse),precision@10 (diff),precision@10 (pval),bpref (base),bpref (fuse),bpref (diff),bpref (pval),mrr (base),mrr (fuse),mrr (diff),mrr (pval)
0,sils_run2,0.5356019108820126,0.6969206091385078,0.16131869825649525,1.2640732139130757e-09,0.2241567446553526,0.38751355044950325,0.16335680579415066,1.196858855296004e-07,0.5925,0.49749999999999994,-0.09500000000000008,0.001972275039942761,0.3497277031414247,0.3576838754512475,0.007956172309822818,0.5981188222937981,0.8011408730158729,0.5912946428571428,-0.20984623015873005,0.002354852152696187
1,BM25,0.5870132722598846,0.7108735053580257,0.12386023309814109,1.8325428197424463e-05,0.2583769959563904,0.4067153826463409,0.14833838668995047,1.2033032547170786e-05,0.5125,0.49000000000000005,-0.02249999999999991,0.4738380587937254,0.39457057865943373,0.37423611632500153,-0.020334462334432202,0.31205284400657063,0.7274377230956178,0.6471422327672327,-0.08029549032838512,0.2912282015328527
2,MedIR4,0.43274487154452324,0.6748119047543557,0.24206703320983247,6.536896626239921e-12,0.19797756916295023,0.3672318848235024,0.16925431566055216,2.3797309295384073e-07,0.525,0.4675000000000001,-0.05749999999999994,0.09103202517381957,0.28494522709559694,0.3416030661957942,0.05665783910019728,0.015566156834791574,0.6497363945578231,0.5871681096681096,-0.06256828488971344,0.3674197634161318
3,imi_mug2_t,0.4658999137945382,0.6879607802064965,0.22206086641195832,1.3336608089235244e-11,0.2058089149975188,0.3756090847796947,0.16980016978217588,5.323493554596088e-07,0.5700000000000001,0.51,-0.06000000000000005,0.07815388810147636,0.3257490160786759,0.34673949124000897,0.020990475161333066,0.34072053964927107,0.7469925213675214,0.5946425829072888,-0.1523499384602326,0.03912127033040794
4,SAsimpleLGD,0.5790625445542751,0.7049833980658233,0.12592085351154825,2.3908041713389913e-05,0.2603144818515298,0.3908032113214624,0.13048872946993262,0.00010168025193011044,0.54,0.47750000000000004,-0.0625,0.040275282042694066,0.37759495677794186,0.35910191778053785,-0.01849303899740401,0.37063013271575007,0.7415456030897207,0.586096681096681,-0.15544892199303972,0.014408443685186664
5,cbnuSA3,0.4417943139949937,0.6627744286539046,0.22098011465891088,1.8713184366797995e-10,0.16582182088395303,0.3477907015851883,0.1819688807012353,1.0181577523612381e-07,0.42749999999999994,0.40499999999999997,-0.022499999999999964,0.34096119345743725,0.3061020038805998,0.32787055396966036,0.021768550089060534,0.29717098772041384,0.5875453842242945,0.516204343735559,-0.07134104048873546,0.2325103723209765
6,MedIR5,0.5195583948299652,0.6897365228424738,0.17017812801250853,1.0134969575307572e-07,0.24225092379904273,0.38325098629300636,0.14100006249396363,1.595490960134354e-05,0.5125,0.47750000000000004,-0.03499999999999992,0.26132672120722844,0.33378919247998406,0.3505335413548442,0.01674434887486015,0.43579971214564683,0.6545262825409883,0.5439895276292335,-0.11053675491175485,0.13912321307101433
7,BM25neopcomd,0.57932810967192,0.7091069255270497,0.12977881585512963,1.5571266685342684e-05,0.25483207514109296,0.4037645885137155,0.14893251337262253,1.1053557342019023e-05,0.5125000000000001,0.5050000000000001,-0.007499999999999951,0.8118482072985084,0.39004838120837804,0.3731677367334554,-0.016880644474922657,0.41375028640117706,0.7144326725905673,0.6556358225108225,-0.05879685007974478,0.4482426684582673
8,SIBTMlit1,0.573152960741027,0.7137663290803964,0.14061336833936944,2.493608917708534e-07,0.2614206793518174,0.40920614007472206,0.14778546072290466,6.196476005291132e-06,0.6275,0.5275000000000001,-0.09999999999999987,0.0008725735575987854,0.3908821753855688,0.3749743808471694,-0.01590779453839941,0.3550150619730118,0.7556089743589743,0.5966071428571429,-0.15900183150183145,0.010301393559248782
9,DutirRun3,0.5928730680787329,0.7089255009152886,0.11605243283655575,5.946950883572105e-05,0.27753605336429843,0.4025489953033367,0.12501294193903828,0.00015681723820921566,0.5825,0.515,-0.0675,0.06087570643906203,0.3963486362891075,0.36617609089860603,-0.03017254539050146,0.16491888936559493,0.7235867233433975,0.6276486636321195,-0.095938059711278,0.13738126508343154
