,run,ndcg (base),ndcg (fuse),ndcg (diff),ndcg (pval),map (base),map (fuse),map (diff),map (pval),precision@10 (base),precision@10 (fuse),precision@10 (diff),precision@10 (pval),bpref (base),bpref (fuse),bpref (diff),bpref (pval),mrr (base),mrr (fuse),mrr (diff),mrr (pval)
0,sils_run2,0.5356019108820126,0.694780104728131,0.15917819384611842,7.947232629401289e-09,0.2241567446553526,0.37556436913419394,0.15140762447884135,2.68242792943871e-06,0.5925,0.5025000000000001,-0.08999999999999997,0.0063110723159414146,0.3497277031414247,0.3259050708221597,-0.023822632319265014,0.1725145636527807,0.8011408730158729,0.6356845238095238,-0.1654563492063491,0.014048437555152999
1,BM25,0.5870132722598846,0.711498784670213,0.12448551241032835,6.266521256698517e-05,0.2583769959563904,0.39435218775819586,0.13597519180180545,0.00019308809243304386,0.5125,0.5275000000000001,0.015000000000000124,0.6842604893183697,0.39457057865943373,0.34159173102668966,-0.052978847632744075,0.031377389971297936,0.7274377230956178,0.7128918650793651,-0.014545858016252744,0.8517283880287031
2,MedIR4,0.43274487154452324,0.6669241223994765,0.23417925085495328,3.022564144298784e-10,0.19797756916295023,0.346777790795452,0.14880022163250178,2.668383161039152e-05,0.525,0.45500000000000007,-0.06999999999999995,0.053265119614530176,0.28494522709559694,0.3000129485666344,0.015067721471037465,0.5708486518636557,0.6497363945578231,0.5862585999312004,-0.06347779462662262,0.33244053228470416
3,imi_mug2_t,0.4658999137945382,0.6776167352804974,0.21171682148595916,6.429804375019701e-10,0.2058089149975188,0.35265382429060643,0.14684490929308763,4.2702569019494614e-05,0.5700000000000001,0.47000000000000003,-0.10000000000000003,0.01763734094392972,0.3257490160786759,0.3109693147753754,-0.014779701303300474,0.5545751915858389,0.7469925213675214,0.6347420634920635,-0.11225045787545784,0.11207391891645078
4,SAsimpleLGD,0.5790625445542751,0.6970728956019321,0.118010351047657,0.00021551661276626046,0.2603144818515298,0.37581600642951324,0.11550152457798346,0.0014505693849541457,0.54,0.465,-0.07500000000000001,0.07142691427947445,0.37759495677794186,0.32295711821306805,-0.05463783856487381,0.026451109679093563,0.7415456030897207,0.6049538308913309,-0.1365917721983898,0.012048936581157153
5,cbnuSA3,0.4417943139949937,0.6749041139174936,0.23310979992249992,8.284743457409478e-10,0.16582182088395303,0.354063528411174,0.18824170752722097,6.633815135835855e-07,0.42749999999999994,0.43499999999999994,0.007500000000000007,0.8277059000671871,0.3061020038805998,0.3073338729554849,0.0012318690748850947,0.9581244252354386,0.5875453842242945,0.5647519841269841,-0.022793400097310346,0.7088604610780863
6,MedIR5,0.5195583948299652,0.6841722182914053,0.16461382346144005,8.29602531444778e-07,0.24225092379904273,0.36330363009586314,0.12105270629682041,0.00042284566337798474,0.5125,0.45,-0.062499999999999944,0.08982410767156788,0.33378919247998406,0.3104975009890129,-0.023291691490971156,0.33181927475789486,0.6545262825409883,0.5894970238095238,-0.06502925873146448,0.3726719438056817
7,BM25neopcomd,0.57932810967192,0.7095424514014622,0.13021434172954216,5.542847897819112e-05,0.25483207514109296,0.39188379588140065,0.1370517207403077,0.00020311585951320317,0.5125000000000001,0.5175000000000001,0.0050000000000000044,0.8907145807040747,0.39004838120837804,0.339005612121942,-0.05104276908643601,0.04657194355683935,0.7144326725905673,0.7002999533146592,-0.01413271927590809,0.8605217720945917
8,SIBTMlit1,0.573152960741027,0.6821707291388653,0.10901776839783839,0.0002849816318022116,0.2614206793518174,0.3624143752263469,0.1009936958745295,0.009207029088573217,0.6275,0.4574999999999999,-0.17000000000000004,5.5716772976784834e-05,0.3908821753855688,0.32085604288408753,-0.07002613250148126,0.00897244783251608,0.7556089743589743,0.5371478174603175,-0.21846115689865686,0.00010614302522276068
9,DutirRun3,0.5928730680787329,0.7022362983706187,0.10936323029188588,0.0005067812026340213,0.27753605336429843,0.3841394452854627,0.10660339192116425,0.0035445362158260858,0.5825,0.485,-0.09750000000000003,0.02022317552444301,0.3963486362891075,0.33304746485797665,-0.06330117143113084,0.013733819109677532,0.7235867233433975,0.647347132034632,-0.07623959130876545,0.277347441143938
