,run,ndcg (base),ndcg (fuse),ndcg (diff),ndcg (pval),map (base),map (fuse),map (diff),map (pval),precision@10 (base),precision@10 (fuse),precision@10 (diff),precision@10 (pval),bpref (base),bpref (fuse),bpref (diff),bpref (pval),mrr (base),mrr (fuse),mrr (diff),mrr (pval)
0,sils_run2,0.5356019108820126,0.6925206858303243,0.15691877494831175,1.407838483061186e-09,0.2241567446553526,0.36206340114388375,0.13790665648853115,1.4462507518095174e-06,0.5925,0.4725,-0.12000000000000005,0.0007153923866428523,0.3497277031414247,0.33502451308465975,-0.014703190056764959,0.37352996000409333,0.8011408730158729,0.6469795804970223,-0.15416129251885058,0.005853536848361951
1,BM25,0.5870132722598846,0.6971842220573345,0.1101709497974499,3.645536715769254e-05,0.2583769959563904,0.3708161243243505,0.1124391283679601,0.0003077889303628209,0.5125,0.4125,-0.09999999999999998,0.001863810140891421,0.39457057865943373,0.34037930398137606,-0.05419127467805768,0.01536058305595958,0.7274377230956178,0.6100542043740573,-0.1173835187215605,0.05187491144482237
2,MedIR4,0.43274487154452324,0.6645273061019743,0.23178243455745107,2.936673156368219e-11,0.19797756916295023,0.3394706593353029,0.14149309017235268,5.680058770571374e-06,0.525,0.4325,-0.09250000000000003,0.001522547761774542,0.28494522709559694,0.31452760276122477,0.029582375665627825,0.2415762847231441,0.6497363945578231,0.6126497113997114,-0.0370866831581117,0.461824778554647
3,imi_mug2_t,0.4658999137945382,0.6826490852564864,0.21674917146194816,1.0922949354908484e-11,0.2058089149975188,0.3502466124322931,0.1444376974347743,3.990339757396176e-06,0.5700000000000001,0.44000000000000006,-0.13,1.3433989200306782e-05,0.3257490160786759,0.3267302441780931,0.0009812280994171974,0.9660933767161086,0.7469925213675214,0.6183304195804196,-0.1286621017871018,0.017232846889758253
4,SAsimpleLGD,0.5790625445542751,0.704426011631918,0.1253634670776429,1.3660358880098172e-05,0.2603144818515298,0.3678604515971775,0.10754596974564773,0.0005568336727171781,0.54,0.43499999999999994,-0.1050000000000001,0.003020600010275842,0.37759495677794186,0.33428389843910045,-0.04331105833884141,0.048752443562603116,0.7415456030897207,0.6391301406926406,-0.1024154623970801,0.07298454171167623
5,cbnuSA3,0.4417943139949937,0.6630816257498765,0.2212873117548828,1.570561680248997e-10,0.16582182088395303,0.328070463320286,0.16224864243633297,4.1759341155926717e-07,0.42749999999999994,0.38,-0.04749999999999993,0.13108288730145787,0.3061020038805998,0.30154366635730023,-0.004558337523299594,0.8412610636229345,0.5875453842242945,0.5755447890618697,-0.012000595162424799,0.826420475103692
6,MedIR5,0.5195583948299652,0.6873919506504133,0.167833555820448,7.195146802681464e-08,0.24225092379904273,0.35744663636297486,0.11519571256393213,0.00013942714639149977,0.5125,0.44000000000000006,-0.0724999999999999,0.011967361711103951,0.33378919247998406,0.32793499890649824,-0.005854193573485822,0.7979185889718401,0.6545262825409883,0.620928093645485,-0.03359818889550337,0.5063282708564523
7,BM25neopcomd,0.57932810967192,0.6954814043089359,0.11615329463701585,3.607129320724823e-05,0.25483207514109296,0.36811690235869293,0.11328482721759997,0.0002912614723821926,0.5125000000000001,0.41500000000000004,-0.09750000000000003,0.005668853487457774,0.39004838120837804,0.3377851699599272,-0.05226321124845085,0.024525873694034597,0.7144326725905673,0.6058875377073907,-0.10854513488317663,0.08686172077036615
8,SIBTMlit1,0.573152960741027,0.7053841625478908,0.13223120180686387,9.097331298691963e-07,0.2614206793518174,0.37749098845735657,0.11607030910553917,0.00014560959773436753,0.6275,0.4699999999999999,-0.15750000000000003,2.0417233705842443e-07,0.3908821753855688,0.347146799385747,-0.0437353759998218,0.020894707693585635,0.7556089743589743,0.6301388888888889,-0.12547008547008542,0.014458527770703672
9,DutirRun3,0.5928730680787329,0.7037383001131507,0.1108652320344179,4.5289905971047646e-05,0.27753605336429843,0.3746384013279671,0.09710234796366868,0.0013482958039474496,0.5825,0.4225,-0.16000000000000003,1.5097720953153113e-05,0.3963486362891075,0.3416799524630996,-0.05466868382600787,0.013749494587449392,0.7235867233433975,0.631505183413078,-0.09208153993031942,0.07440237208769498
10,ccnl_sa1,0.5601362682716481,0.6980602431943601,0.13792397492271202,2.867733933581664e-07,0.2525434364502023,0.37691583328326245,0.12437239683306017,9.042535526578913e-05,0.645,0.505,-0.14,1.9632477540413616e-05,0.41262914013693075,0.3520685838965098,-0.06056055624042095,0.005573040902297792,0.8670536540240519,0.6489227780976549,-0.21813087592639702,1.0330427027857905e-05
11,cbnuSA2,0.472278917145187,0.669704677167347,0.19742576002216006,9.92902437070131e-10,0.18573489351258435,0.33592893874425095,0.1501940452316666,1.0626880127147238e-06,0.4625,0.39,-0.07250000000000001,0.011309420156929581,0.31363045522474736,0.3061490430634355,-0.007481412161311873,0.7324083120683929,0.631189377510535,0.5782420989229025,-0.052947278587632596,0.3392431213807655
